Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
2008,Heart,11-17 Years,92,"75.53 [65.24, 83.16]","76.43 [66.16, 83.96]"
2008,Heart,18-34,184,"67.71 [60.32, 74.02]","68.29 [60.92, 74.56]"
2008,Heart,35-49,382,"77.91 [73.36, 81.78]","79.40 [74.93, 83.17]"
2008,Heart,50-64,859,"77.63 [74.68, 80.28]","77.76 [74.82, 80.40]"
2008,Heart,6-10 Years,53,"81.09 [67.70, 89.35]","86.09 [73.01, 93.12]"
2008,Heart,65+,243,"71.75 [65.60, 77.00]","71.14 [64.99, 76.41]"
2009,Heart/Lung,1-5 Years,1,*,*
2009,Heart/Lung,11-17 Years,1,*,*
2009,Heart/Lung,18-34,9,*,*
2009,Heart/Lung,35-49,11,*,*
2009,Heart/Lung,50-64,4,*,*
2009,Heart/Lung,6-10 Years,1,*,*
2009,Heart,<1 Year,116,"75.78 [66.89, 82.59]","76.62 [67.79, 83.33]"
2009,Heart,1-5 Years,76,"71.62 [59.85, 80.49]","72.82 [61.07, 81.54]"
2009,Heart,11-17 Years,98,"82.25 [73.00, 88.57]","82.98 [73.71, 89.21]"
2009,Heart,18-34,181,"70.71 [63.41, 76.83]","71.91 [64.67, 77.91]"
2009,Heart,35-49,365,"78.13 [73.49, 82.05]","79.18 [74.61, 83.03]"
2009,Heart,50-64,911,"77.68 [74.82, 80.26]","77.95 [75.10, 80.52]"
2009,Heart,6-10 Years,44,"88.58 [74.70, 95.08]","93.18 [80.33, 97.75]"
2009,Heart,65+,272,"76.31 [70.76, 80.94]","75.98 [70.43, 80.64]"
2010,Heart/Lung,1-5 Years,1,*,*
2010,Heart/Lung,18-34,14,*,*
2010,Heart/Lung,35-49,10,*,*
2010,Heart/Lung,50-64,15,"66.67 [37.53, 84.56]","66.67 [37.53, 84.56]"
2010,Heart,<1 Year,104,"82.66 [73.90, 88.70]","85.44 [77.01, 90.95]"
2010,Heart,1-5 Years,74,"76.79 [65.34, 84.88]","80.66 [69.53, 88.07]"
2010,Heart,11-17 Years,107,"81.91 [73.10, 88.06]","83.80 [75.23, 89.61]"
2010,Heart,18-34,201,"79.81 [73.52, 84.77]","82.19 [76.08, 86.87]"
2010,Heart,35-49,394,"78.96 [74.56, 82.68]","79.98 [75.65, 83.62]"
2010,Heart,50-64,950,"77.76 [74.96, 80.28]","78.07 [75.29, 80.57]"
2010,Heart,6-10 Years,48,"87.21 [73.71, 94.05]","91.46 [78.80, 96.71]"
2010,Heart,65+,304,"75.93 [70.71, 80.35]","76.24 [71.04, 80.64]"
2011,Heart/Lung,11-17 Years,2,*,*
2011,Heart/Lung,18-34,4,*,*
2011,Heart/Lung,35-49,6,*,*
2011,Heart/Lung,50-64,12,*,*
2011,Heart/Lung,65+,2,*,*
2011,Heart,<1 Year,109,"79.54 [70.60, 86.02]","82.08 [73.34, 88.18]"
2011,Heart,1-5 Years,85,"83.17 [73.24, 89.67]","87.76 [78.43, 93.22]"
2011,Heart,11-17 Years,114,"79.49 [70.77, 85.87]","81.99 [73.48, 87.99]"
2011,Heart,18-34,183,"74.44 [67.40, 80.19]","79.71 [72.99, 84.93]"
2011,Heart,35-49,348,"79.35 [74.67, 83.26]","79.90 [75.25, 83.77]"
2011,Heart,50-64,937,"80.66 [77.97, 83.06]","81.08 [78.41, 83.45]"
2011,Heart,6-10 Years,39,"79.25 [62.75, 89.05]","89.38 [74.09, 95.88]"
2011,Heart,65+,322,"77.52 [72.54, 81.71]","77.28 [72.29, 81.48]"
2012,Heart/Lung,11-17 Years,2,*,*
2012,Heart/Lung,18-34,7,*,*
2012,Heart/Lung,35-49,7,*,*
2012,Heart/Lung,50-64,12,*,*
2012,Heart/Lung,65+,1,*,*
2012,Heart,<1 Year,106,"82.75 [74.02, 88.76]","82.79 [74.07, 88.79]"
2012,Heart,1-5 Years,84,"89.21 [80.29, 94.24]","89.21 [80.29, 94.24]"
2012,Heart,11-17 Years,100,"90.84 [83.13, 95.12]","92.85 [85.59, 96.53]"
2012,Heart,18-34,189,"74.32 [67.41, 79.98]","77.33 [70.59, 82.72]"
2012,Heart,35-49,396,"79.33 [74.97, 83.02]","79.81 [75.47, 83.46]"
2012,Heart,50-64,933,"80.16 [77.44, 82.58]","80.73 [78.03, 83.13]"
2012,Heart,6-10 Years,52,"80.42 [66.67, 88.95]","84.26 [70.97, 91.80]"
2012,Heart,65+,345,"78.43 [73.69, 82.42]","77.92 [73.16, 81.95]"
2013,Heart/Lung,1-5 Years,2,*,*
2013,Heart/Lung,11-17 Years,3,*,*
2013,Heart/Lung,18-34,2,*,*
2013,Heart/Lung,35-49,9,*,*
2013,Heart/Lung,50-64,4,*,*
2013,Heart/Lung,6-10 Years,2,*,*
2013,Heart/Lung,65+,1,*,*
2013,Heart,<1 Year,117,"81.20 [72.86, 87.19]","83.74 [75.69, 89.30]"
2013,Heart,1-5 Years,82,"82.20 [71.79, 89.05]","84.64 [74.51, 90.97]"
2013,Heart,11-17 Years,130,"83.65 [76.04, 89.02]","88.04 [80.94, 92.61]"
2013,Heart,18-34,205,"75.20 [68.63, 80.60]","76.22 [69.72, 81.51]"
2013,Heart,35-49,396,"82.96 [78.86, 86.33]","83.92 [79.89, 87.20]"
2013,Heart,50-64,937,"79.91 [77.18, 82.34]","80.38 [77.67, 82.79]"
2013,Heart,6-10 Years,56,"83.75 [71.10, 91.20]","85.50 [73.07, 92.47]"
2013,Heart,65+,420,"78.17 [73.89, 81.84]","78.16 [73.87, 81.83]"
2014,Heart/Lung,11-17 Years,4,*,*
2014,Heart/Lung,18-34,8,*,*
2014,Heart/Lung,35-49,4,*,*
2014,Heart/Lung,50-64,4,*,*
2014,Heart/Lung,6-10 Years,1,*,*
2014,Heart,<1 Year,120,"77.39 [68.78, 83.90]","78.91 [70.40, 85.23]"
2014,Heart,1-5 Years,97,"81.14 [71.73, 87.67]","83.22 [74.07, 89.37]"
2014,Heart,11-17 Years,120,"84.83 [77.00, 90.16]","84.83 [77.00, 90.16]"
